1	-	1	Project newspaper announcement onto black curtain. ‘Bill and Matilda Gilmour (nee Drake) are delighted to announce the arrival of Edward John Gilmour born on 25thMay 2000...weight....etc.Light focus on Bill Gilmour reading paper with shopping bag of nappies/ wipes/ baby stuff etc. His jumper is on backwards and he has one on his trouser legs tucked into his socks. He looks dishevelled and tired, but excited and happy.  Enter Freddie having just bought a paper and breakfast items.
2	2	1	Bill? Congratulations! Wonderful news! How is the wee one doing?Edward isn’t it?
3	9	1	Eh. Yes. Edward. Ted.
4	2	1	And whatare they like once they’re...you know...out?
5	9	1	Yeah –no problem. Turns out holding a baby is not that different from a rugby ball. I just popped out to get some supplies.
6	2	1	Yeah  me  too –going  to  cook  up  a  full  English.  Thought  I’d  better make  the  most  of  the  last  leisurely  breakfast  before Lucy and  I  join you guys into parenthood!
7	9	1	When’s she due?
8	2	1	Any day now –this could be the last breakfast!
9	9	1	Do you know the flavour?
10	2	1	A  pink  one!  Just  trying  to  figure  out  what  name  sounds  best  with either Dr at the front.
11	9	1	Or Q.C. at the end?!
12	2	1	Listen  Bill –great  to  see  you –give  my  love  to  Matilda  and  young Edward...sorry... Ted!
13	9	1	Cheers  Freddie –and...all  the  best.  Let  us  know  when  she  arrives. And fatherhood –it’s a breeze!
14	-	2	Matilda and Lucyare sitting with 2 car seats holding Anna and Ted. The new mumsare busy drinking tea and discussing their babies.Projected onto the black curtain is ‘10 days.’
15	10	2	Oh  look  at  them  all  bundled  up  and  sleeping.  It’s  weird  how  when they’re awake you just want them to fall asleep and when they are you want to wake them up.
16	8	2	Lucy –don’t wake them up! I love my son but at the moment, I love him the most when he’s asleep!
17	-	2	Freddie comesbursting into the room looking dishevelled in complete contrast to his smart appearance in Scene 1. He now looks like Bill.
18	2	2	I didn’t know which nappies to get so I got one of each. There’s more in the car...
19	8	2	Congratulations Freddie! So how you finding being a daddy to yourbeautiful baby Anna?
20	2	2	eah –it’s a breeze! Nappies!
21	-	2	Freddie rushes off. Matilda hands Lucy a gift
22	8	2	Ted’s auntie gave him one –she’s a nursery teacher and says these are great for stimulating their little brains.
23	10	2	‘Colourful  rattle  and  patterns  stimulate  vision,  squeals  and  crinkles develop  auditory  senses  and  different  textures  to  grip  and  grab  refine motor skills.’ My word –this thing should get the Nobel Peace Prize!
24	8	2	And she gave me these too. Infant stimulation cards. They will ‘pave the way for your babies’ brain development!’
